"","text","CAT","REACH","IDS"
"newrow","Shopping behaviour","false:false:false","0","595377:549073:"
"newrow","Gender","false:false:false","0","549074:549073:"
"newrow","Age Groups","false:false:false","0","549077:549073:"
"newrow","Accessories","false:false:false","0","556789:549073:"
"newrow","Jewelery","false:false:false","0","556796:549073:"
"newrow","Bags","false:false:false","0","556798:549073:"
"newrow","Clothing","false:false:false","0","556802:549073:"
"newrow","Kids Clothes","false:false:false","0","556833:549073:"
"newrow","Shoes","false:false:false","0","556835:549073:"
"newrow","Geo","false:false:false","0","556841:549073:"
"newrow","Consumer Type ","false:false:false","0","592896:549073:"
