,group,text,CAT,REACH,IDS,BK_phints_rule
newrow,merce,largo comsumo food,false:false:false,0,549086:549085:P38892,"d1,is,B5BE"
newrow,merce,largo comsumo non food,false:false:false,0,549087:549085:P38891,"d1,is,72FF"
newrow,merce,largo comsumo pharma,false:false:false,0,549088:549085:P38890,"d2,is,73FF"
newrow,merce,auto,false:false:false,0,549089:549085:P38889,"d2,is,5EE2"
newrow,merce,telco,false:false:false,0,549090:549085:P38888,"d2,is,9BE3"
newrow,merce,editoria,false:false:false,0,549091:549085:P38887,"d2,is,6BF1"
newrow,merce,moda,false:false:false,0,549092:549085:P38886,"d2,is,3B86"
newrow,merce,turismo,false:false:false,0,549093:549085:P38885,"d2,is,8A60"
newrow,merce,cosmesi,false:false:false,0,549094:549085:P38884,"d2,is,8A61"
newrow,merce,arredamento,false:false:false,0,549095:549085:P38883,"d2,is,8A62"
newrow,merce,informatica,false:false:false,0,549096:549085:P38882,"d2,is,8A63"
newrow,merce,affari,false:false:false,0,549097:549085:P38881,"d2,is,8A64"
newrow,advertiser,roadhouse,false:false:false,,,"adcl,is,fdrh"
